kind,replicate,method,k,fit_seconds,max_share,ari,ami,vi_bits,centroid_shift,mi_rank_tau
bootstrap,16,KMeans++ K*,31,32.48341131210327,0.096266,0.6957554705763499,0.8113686939914904,1.6874293531454112,0.47813504642349275,
bootstrap,16,RPW K* (no refinement),31,27.091118574142456,0.121531,0.909524676491657,0.9093630891330325,0.7982730235398118,0.2283003543959857,0.9393939393939392
bootstrap,17,ZSH,31,27.513378143310547,0.089356,0.8010258360214888,0.8732058358307018,1.141024180905105,0.32949299593208664,0.8787878787878787
bootstrap,17,KMeans++ K*,31,31.71842861175537,0.092949,0.7134617513482672,0.8262473316619017,1.5615943415741258,0.42257983906530144,
bootstrap,17,RPW K* (no refinement),31,27.406041860580444,0.100768,0.7190620510631337,0.851606650368939,1.3094779523287123,0.24576345743955114,0.8787878787878787
bootstrap,18,ZSH,30,27.416696071624756,0.101063,0.7476367917673223,0.8448826975648465,1.3805591503828967,0.32169075014661375,0.9696969696969696
bootstrap,18,KMeans++ K*,31,32.14769887924194,0.098923,0.8545481918490737,0.8816531321364404,1.055804630530255,0.24335180556772723,
bootstrap,18,RPW K* (no refinement),31,27.572468757629395,0.100975,0.725540400651702,0.8279868508205082,1.5251205580579397,0.2282560720198612,0.9696969696969696
bootstrap,19,ZSH,31,27.93369746208191,0.095495,0.7781637195039506,0.865210479677313,1.2025602325738132,0.49614756828365825,0.9393939393939392
bootstrap,19,KMeans++ K*,31,32.10928702354431,0.08912,0.7373652627786024,0.8611420945260307,1.243192232650684,0.36603996432849106,
bootstrap,19,RPW K* (no refinement),31,27.571196794509888,0.09966,0.733370524866735,0.8593818548122111,1.2357221206899824,0.28564029856402645,0.9393939393939392
bootstrap,20,ZSH,31,27.44034719467163,0.090125,0.8007791197055601,0.8701704073824756,1.1645534565964601,0.34868777560406816,0.8787878787878787
bootstrap,20,KMeans++ K*,31,31.616323709487915,0.09307,0.7589280431499554,0.8675214752066052,1.1827112421939043,0.13971082123392595,
bootstrap,20,RPW K* (no refinement),31,27.38267707824707,0.110979,0.8285033144215518,0.8757620931561679,1.091706797644752,0.2764186375026084,0.8787878787878787
bootstrap,21,ZSH,31,27.080827474594116,0.089656,0.892245635441528,0.9053311401486827,0.8520448696541636,0.20694930079332302,0.909090909090909
bootstrap,21,KMeans++ K*,31,32.93928623199463,0.0995,0.8669105380220498,0.8848459833424516,1.0291495265369515,0.3215765630444664,
bootstrap,21,RPW K* (no refinement),31,26.99664855003357,0.122383,0.911871832475857,0.91112126577482,0.7809533978163298,0.177656444390404,0.909090909090909
bootstrap,22,ZSH,32,27.43266248703003,0.08967,0.8783667581197179,0.8982978552853643,0.9154765468700164,0.2578141770302361,0.9393939393939392
bootstrap,22,KMeans++ K*,31,31.7066171169281,0.101121,0.78206871014948,0.8465587949758534,1.3660307457134935,0.510364554159545,
bootstrap,22,RPW K* (no refinement),31,26.76104497909546,0.134304,0.8279154719035271,0.8694499807635498,1.1424048362525394,0.2449764775519585,0.9393939393939392
bootstrap,23,ZSH,31,25.98111319541931,0.087589,0.8464856954401141,0.9030504398755813,0.8738284409245907,0.3256296667860324,0.9393939393939392
bootstrap,23,KMeans++ K*,31,33.18020939826965,0.099955,0.815428675130376,0.8641970462101042,1.2083530274222964,0.27520416589023117,
bootstrap,23,RPW K* (no refinement),31,25.834052324295044,0.121136,0.9239433905690604,0.9219811848104676,0.6873607388359277,0.20323118754179492,0.9393939393939392
bootstrap,24,ZSH,32,28.00770354270935,0.086434,0.9454009113844195,0.9366890411221939,0.5715999888434766,0.1604508387843087,0.9999999999999998
bootstrap,24,KMeans++ K*,31,32.81055283546448,0.097741,0.8039649456933278,0.8609247903779926,1.2271308748155154,0.5250704154502269,
bootstrap,24,RPW K* (no refinement),31,27.747320890426636,0.135596,0.8812587222731972,0.9079254798740892,0.8087472045838613,0.13605888152965626,0.9999999999999998
bootstrap,25,ZSH,31,27.49159002304077,0.090348,0.7796621789446405,0.8673541053667755,1.1899858921751896,0.39192587186669464,0.8787878787878787
bootstrap,25,KMeans++ K*,31,32.34909415245056,0.095917,0.7546675363855987,0.8507781554012237,1.3435893921151023,0.39494771312408666,
bootstrap,25,RPW K* (no refinement),31,27.275121212005615,0.110321,0.8247706079204822,0.8806020221316725,1.048850558644595,0.23701160027491963,0.8787878787878787
bootstrap,26,ZSH,31,27.771043062210083,0.088558,0.8840072291055403,0.9049928582339423,0.8544709906354261,0.3567513973990562,0.909090909090909
bootstrap,26,KMeans++ K*,31,33.0318865776062,0.091187,0.7037475779996997,0.8278360405559098,1.5326925386404704,0.26777000109251237,
bootstrap,26,RPW K* (no refinement),31,27.64930272102356,0.123221,0.8671396631184258,0.8904924923157536,0.9655809318500541,0.18833393729032694,0.909090909090909
bootstrap,27,ZSH,31,27.437174320220947,0.095921,0.7723601994484676,0.8619138214452687,1.2327893744051936,0.4278684909725963,0.9393939393939392
bootstrap,27,KMeans++ K*,31,32.74182391166687,0.093008,0.7688915596312336,0.8610114675058242,1.2396178255903707,0.2137423715245689,
bootstrap,27,RPW K* (no refinement),31,27.384528160095215,0.135736,0.8760379843260797,0.9020236812926371,0.8533317925982997,0.2711631703020832,0.9393939393939392
bootstrap,28,ZSH,31,27.326969623565674,0.088121,0.80103283357361,0.8907006852862333,0.9798897873933583,0.18566772754106495,0.9999999999999998
bootstrap,28,KMeans++ K*,31,32.1533317565918,0.091152,0.6888188789932798,0.8133674740149293,1.6710771534905946,0.4907778843563703,
bootstrap,28,RPW K* (no refinement),31,27.27605175971985,0.152716,0.8199316140901673,0.9109984840279963,0.777918285091418,0.1627811646737752,0.9999999999999998
bootstrap,29,ZSH,31,26.90104866027832,0.09123,0.8422944546273254,0.8867663860100189,1.0165917735849812,0.49107055453863,0.8787878787878787
bootstrap,29,KMeans++ K*,31,31.93957781791687,0.100539,0.8098181352108681,0.865328576131726,1.1985096492545653,0.19059376364809558,
bootstrap,29,RPW K* (no refinement),31,27.944663047790527,0.127572,0.884964923398964,0.9028606794145712,0.8533342915881542,0.2660647440569654,0.8787878787878787
null,0,ZSH,32,29.759403944015503,0.094828,,,,,
null,1,ZSH,35,27.95190739631653,0.077892,,,,,
null,2,ZSH,32,28.01059055328369,0.086608,,,,,
null,3,ZSH,32,29.516111135482788,0.09625,,,,,
null,4,ZSH,30,27.297328233718872,0.097239,,,,,
null,5,ZSH,34,30.724182844161987,0.065434,,,,,
null,6,ZSH,30,29.969583749771118,0.098418,,,,,
null,7,ZSH,33,30.29399013519287,0.084442,,,,,
null,8,ZSH,32,28.383741855621338,0.093609,,,,,
null,9,ZSH,33,30.281044483184814,0.09225,,,,,
