kind,replicate,method,cluster,jaccard
seed,5,RPW K* (no refinement),13,0.9117752326413744
seed,5,RPW K* (no refinement),14,0.7244207504613492
seed,5,RPW K* (no refinement),15,0.8425796114560384
seed,5,RPW K* (no refinement),16,0.3149545664561836
seed,5,RPW K* (no refinement),17,0.47472461143805644
seed,5,RPW K* (no refinement),18,0.19783950617283952
seed,5,RPW K* (no refinement),19,0.6068607537801851
seed,5,RPW K* (no refinement),20,0.4904933196300103
seed,5,RPW K* (no refinement),21,0.9919720767888307
seed,5,RPW K* (no refinement),22,0.7290856031128404
seed,5,RPW K* (no refinement),23,0.7129724208375894
seed,5,RPW K* (no refinement),24,0.22916666666666666
seed,5,RPW K* (no refinement),25,0.6815823605706874
seed,5,RPW K* (no refinement),26,0.9404205607476636
seed,5,RPW K* (no refinement),27,0.1994269340974212
seed,5,RPW K* (no refinement),28,0.9108910891089109
seed,5,RPW K* (no refinement),29,0.8793103448275862
seed,5,RPW K* (no refinement),30,0.9375
seed,6,ZSH,0,0.9634723536945264
seed,6,ZSH,1,0.29722386296515063
seed,6,ZSH,2,0.9052055904395382
seed,6,ZSH,3,0.9204211389895399
seed,6,ZSH,4,0.876235639861074
seed,6,ZSH,5,0.4494909945184025
seed,6,ZSH,6,0.3872324339649388
seed,6,ZSH,7,0.9528631284916201
seed,6,ZSH,8,0.9268823895457374
seed,6,ZSH,9,0.9515316013958899
seed,6,ZSH,10,0.7181346135005389
seed,6,ZSH,11,0.5792636398321251
seed,6,ZSH,12,0.8890831082154775
seed,6,ZSH,13,0.8174015483002356
seed,6,ZSH,14,0.09250540781269882
seed,6,ZSH,15,0.8458833264377327
seed,6,ZSH,16,0.8500698742263925
seed,6,ZSH,17,0.3369749192183413
seed,6,ZSH,18,0.506016466117796
