period,method,profile,matched_to,jaccard,share
test,Ward (sample + NC),20,28,0.2667966636379414,0.03723346217687549
test,Ward (sample + NC),21,17,0.0,0.02268691019256886
test,Ward (sample + NC),22,6,0.2676264855687606,0.026556085632590837
test,Ward (sample + NC),23,8,0.48052347014008356,0.011550649441097608
test,Ward (sample + NC),24,10,0.46942775439385664,0.0061229701338347785
test,Ward (sample + NC),25,22,0.33471096275101997,0.023652269464854346
test,Ward (sample + NC),26,24,0.00043199032341675544,0.00999098482122475
test,Ward (sample + NC),27,15,0.33426155807555524,0.0048202187631793784
test,Ward (sample + NC),28,14,0.0014021841714979102,0.012217308369413394
test,Ward (sample + NC),29,4,0.0,0.007241548753545132
test,Ward (sample + NC),30,0,0.22504313861876163,0.05650002128046492
test,VKV-partial (K*),0,0,0.7869172805799681,0.29199274142687454
test,VKV-partial (K*),1,1,0.8453038674033149,6.577598248037361e-05
test,VKV-partial (K*),2,27,0.7875470844232731,0.3967011410198373
test,VKV-partial (K*),3,26,0.49504950495049505,2.398888772813626e-05
test,VKV-partial (K*),4,8,0.6885433340955865,0.0014079929426239974
test,VKV-partial (K*),5,29,0.613784538963055,0.007660580453699512
test,VKV-partial (K*),6,7,0.9310344827586207,1.0833691232061535e-05
test,VKV-partial (K*),7,5,0.4010416666666667,4.140017720823515e-05
test,VKV-partial (K*),8,3,0.71120246659815,0.0002723899509775472
test,VKV-partial (K*),9,23,0.7246315789473684,0.0045977411753781155
test,VKV-partial (K*),10,19,0.7948717948717948,2.7471145624156036e-05
test,VKV-partial (K*),11,30,0.013256017448314592,0.05342480064073545
test,VKV-partial (K*),12,28,0.29411764705882354,6.190680704035163e-06
test,VKV-partial (K*),13,22,0.4046242774566474,0.00016946988427296258
test,VKV-partial (K*),14,2,0.0,3.869175440021977e-07
test,VKV-partial (K*),15,14,0.3930013576078254,0.021335794128913187
test,VKV-partial (K*),16,21,0.6666666666666666,2.3215052640131864e-06
test,VKV-partial (K*),17,18,0.0,0.0015101391742405777
test,VKV-partial (K*),18,4,0.0,2.1280464920120875e-05
test,VKV-partial (K*),19,6,0.4782608695652174,8.899103512050547e-06
test,VKV-partial (K*),20,12,0.5019076184763047,0.015320773989855022
test,VKV-partial (K*),21,16,0.6597938144329897,9.827705617655822e-05
test,VKV-partial (K*),22,25,0.36357763493652895,0.02087690992172658
test,VKV-partial (K*),23,11,0.46153846153846156,6.384139476036262e-05
test,VKV-partial (K*),24,17,0.2519233670236838,0.0016389827163933095
test,VKV-partial (K*),25,15,0.5293815194365449,0.17741291453378372
test,VKV-partial (K*),26,20,0.35991692627206645,0.0016173153339291864
test,VKV-partial (K*),27,9,0.0,8.899103512050547e-06
test,VKV-partial (K*),28,24,0.31151848092195616,0.002923548962480606
test,VKV-partial (K*),29,13,0.0,0.0002832236422096087
test,VKV-partial (K*),30,10,0.7004249291784702,0.0004739739914026922
future,ZSH,0,17,0.13579181911222088,0.04392252118406833
future,ZSH,1,18,0.017295410775796688,0.007468125890363037
future,ZSH,2,34,0.07468858094964177,0.0001303986523698601
future,ZSH,3,30,0.321193721232981,0.0029231650964968462
future,ZSH,4,7,0.0950126202368991,0.008531904048853673
future,ZSH,5,3,0.09668269047281028,0.03411585821427965
future,ZSH,6,24,0.019367310212674245,0.006096585602611097
future,ZSH,7,14,0.05282859806313967,0.021621702561471817
future,ZSH,8,5,0.013789672773046133,0.010384049571618835
future,ZSH,9,36,0.17806119091932163,3.8899491063271204e-05
future,ZSH,10,2,0.2529701392118309,0.44966726110388583
future,ZSH,11,29,0.005455911800357764,0.0008629043739898685
future,ZSH,12,12,0.2601488114013536,0.18601945000526507
future,ZSH,13,13,0.05873685182627392,0.0223396381484619
future,ZSH,14,10,0.05618834257801489,0.013835732230114332
future,ZSH,15,16,0.0163241409981725,0.002513648350020653
future,ZSH,16,4,0.005246410140566853,0.011916977025809053
future,ZSH,17,9,0.2122086587021838,0.01871688760280218
future,ZSH,18,28,0.00580198548351681,0.0007045943962131199
future,ZSH,19,32,0.006046877449261077,0.0005917123457593678
future,ZSH,20,19,0.006016300474992338,0.01370935091157261
future,ZSH,21,26,0.000979111103764387,0.006899798587346883
future,ZSH,22,0,0.17660827277422025,0.11147001056736316
future,ZSH,23,15,0.2875620011958042,0.007405410740002607
future,ZSH,24,35,0.0002615042315180191,0.004475225860881762
future,ZSH,25,11,0.0023188362268340133,0.002937426485174597
future,ZSH,26,21,0.009698495860672663,0.0036464831133662975
future,ZSH,27,25,0.0027832592271343245,0.0029220338303973447
future,ZSH,28,27,0.0010326689029463807,0.0016986613155190048
future,ZSH,29,31,0.00048108692529214665,0.001153401366783409
future,ZSH,30,37,0.022185016483303163,0.001280181326074485
future,K-means++ (K*),0,8,0.1835292416674578,0.0494036795417358
future,K-means++ (K*),1,22,0.23413163881083016,0.002996563288333276
future,K-means++ (K*),2,25,0.3326167911783422,0.00026361645959275675
future,K-means++ (K*),3,6,0.04045008389603535,0.02734516328857013
future,K-means++ (K*),4,3,0.2803787883377719,0.04196254539535089
future,K-means++ (K*),5,9,0.020219303453508485,0.004945366234060177
future,K-means++ (K*),6,17,0.0028543898939067777,0.010085960662676755
future,K-means++ (K*),7,5,0.02271327447943705,0.02413007748336648
future,K-means++ (K*),8,18,0.0036524053326996413,0.004001994509155064
